"prefLabel","Real Name","Description","Sites","altLabels","url"
"Ndoe","Georgi Kasabov","NDOE, one of the most talented Bulgarian rappers, has been making hip-hop since 1994, when his first Amnesty band has released a cassette album. Then he's only 14, but the skills can not go unnoticed. In 2001, along with his buddy Dimitar (DRS), they released the cult disk ""Урок # 1"" that came out of Sniper Records. The album is unique because almost every artist is invited to another song.","https://www.facebook.com/ndoe.drs https://soundcloud.com/ndoe-drs https://www.instagram.com/ndoe_drs/ http://www.facingthesun.eu/ndoe.html","","https://www.discogs.com/artist/5692484-Ndoe"
"100 Кила","Явор Янакиев","Bulgarian hip hop artist","","г-н 100 Кила","https://www.discogs.com/artist/4640763-100-Кила"
"Gery-Nikol","Гери Никол","Gery-Nikol Nikolaeva Georgieva better known simply as Gery-Nikol is a Bulgarian recording artist who rose to fame in late 2014 after participating in the third season of the singing competition X Factor Bulgaria.","http://gerynikol.com/ https://www.facebook.com/gerynikol https://instagram.com/gerynikol/ https://twitter.com/Gery_Nikol","","https://www.discogs.com/artist/4773108-Gery-Nikol"
"Krisko","Кристиян Талев","Krisko is bulgarian hip-hop artist and producer.","http://www.krisko.bg https://www.facebook.com/kriskoofficial https://www.instagram.com/kriskobeats","Криско,Кристиян Талев - Криско","https://www.discogs.com/artist/4773109-Krisko"
"So Called Crew","","","","","https://www.discogs.com/artist/2575626-So-Called-Crew"
"Lina Pejovska","","","https://www.facebook.com/pejovskalina/ https://www.instagram.com/pejovskalina/","","https://www.discogs.com/artist/6378429-Lina-Pejovska"
"Gery-Nikol","Гери Никол","Gery-Nikol Nikolaeva Georgieva better known simply as Gery-Nikol is a Bulgarian recording artist who rose to fame in late 2014 after participating in the third season of the singing competition X Factor Bulgaria.","http://gerynikol.com/ https://www.facebook.com/gerynikol https://instagram.com/gerynikol/ https://twitter.com/Gery_Nikol","","https://www.discogs.com/artist/4773108-Gery-Nikol"
"Krisko","Кристиян Талев","Krisko is bulgarian hip-hop artist and producer.","http://www.krisko.bg https://www.facebook.com/kriskoofficial https://www.instagram.com/kriskobeats","Криско,Кристиян Талев - Криско","https://www.discogs.com/artist/4773109-Krisko"
"Grigovor","Iliya Grigorov","Bulgarian hip-hop artist.","https://soundcloud.com/iliya-grigorov https://twitter.com/grigovor","Григовор","https://www.discogs.com/artist/3418074-Grigovor"
"Ицо Хазарта","","","","Ico","https://www.discogs.com/artist/2120104-Ицо-Хазарта"
